rt,response,participant_id,trial_index,task_1,cue_1_dur,congruency,task_switch,or_switch,mov_switch
0.9718820000004488,1.0,4.0,28.0,or,2970.0,0,1,0,1
0.7164820000000763,1.0,4.0,29.0,or,2970.0,0,0,0,0
0.8765819999999367,1.0,4.0,30.0,mov,2970.0,1,1,0,1
1.0297050000010055,1.0,4.0,31.0,mov,2970.0,1,0,0,0
0.870105000000447,1.0,4.0,32.0,or,2970.0,1,1,1,1
1.030505000000121,1.0,4.0,33.0,mov,2970.0,0,1,0,1
0.9005280000006315,1.0,4.0,34.0,mov,2970.0,1,0,1,0
0.7723389999994542,1.0,4.0,35.0,mov,2970.0,1,0,1,1
1.440739000000991,1.0,4.0,36.0,or,2970.0,0,1,0,1
0.8178620000009105,1.0,4.0,37.0,mov,2970.0,1,1,1,0
1.06276200000057,1.0,4.0,38.0,or,2970.0,0,1,0,1
0.7312619999998715,1.0,4.0,39.0,mov,2970.0,1,1,0,1
1.3003849999997763,1.0,4.0,40.0,or,2970.0,0,1,1,0
0.8939850000005681,1.0,4.0,41.0,or,2970.0,0,0,1,1
1.0951959999997634,-1.0,4.0,42.0,mov,2970.0,0,1,0,0
0.9711190000006464,1.0,4.0,43.0,mov,2970.0,1,0,1,0
0.9645190000000876,1.0,4.0,44.0,or,2970.0,0,1,1,0
1.052119000000879,1.0,4.0,45.0,or,2970.0,0,0,0,0
1.584742000001017,1.0,4.0,46.0,mov,2970.0,0,1,1,1
1.1674419999993406,1.0,4.0,47.0,or,2970.0,0,1,1,1
0.8300420000001323,1.0,4.0,48.0,mov,2970.0,1,1,1,0
0.7530650000006426,1.0,4.0,49.0,or,2970.0,1,1,1,1
0.9013759999994654,1.0,4.0,50.0,or,2970.0,0,0,1,0
0.956175999999512,1.0,4.0,51.0,mov,2970.0,1,1,1,0
1.433899000000907,-1.0,4.0,52.0,mov,2970.0,0,0,0,1
1.9091990000009535,1.0,4.0,53.0,mov,2970.0,0,0,1,1
0.948199000000226,1.0,4.0,54.0,or,2970.0,1,1,0,1
1.1994219999997875,1.0,4.0,55.0,mov,2970.0,0,1,1,0
0.8399220000009519,1.0,4.0,56.0,or,2970.0,0,1,0,0
1.096933000000892,1.0,4.0,57.0,or,2970.0,0,0,1,1
1.47705600000103,1.0,4.0,58.0,mov,2970.0,0,1,0,0
1.2519560000004712,1.0,4.0,59.0,or,2970.0,1,1,0,1
0.7678560000001744,-1.0,4.0,60.0,mov,2970.0,1,1,1,1
0.7725789999999106,1.0,4.0,61.0,or,2970.0,1,1,1,1
0.9952790000000968,1.0,4.0,62.0,mov,2970.0,1,1,1,1
0.762479000000545,1.0,4.0,63.0,mov,2970.0,1,0,0,0
0.851713000000891,1.0,4.0,64.0,mov,2970.0,1,0,1,1
0.7318129999998783,1.0,4.0,65.0,mov,2970.0,1,0,0,0
1.0369130000006408,-1.0,4.0,66.0,mov,2970.0,0,0,1,0
0.9609360000009184,1.0,4.0,67.0,mov,2970.0,0,0,0,0
0.9348360000006214,1.0,4.0,68.0,or,2970.0,0,1,1,1
1.2619359999995212,1.0,4.0,69.0,mov,2970.0,0,1,1,1
0.8476590000009164,1.0,4.0,70.0,mov,2970.0,0,0,0,0
0.8275590000006195,1.0,4.0,71.0,or,2970.0,1,1,1,0
1.0794700000009034,-1.0,4.0,72.0,or,2970.0,0,0,0,1
0.8676930000006687,1.0,4.0,73.0,or,2970.0,0,0,0,0
1.04559300000011,1.0,4.0,74.0,mov,2970.0,0,1,0,0
1.281793000000529,1.0,4.0,75.0,or,2970.0,0,1,0,0
0.9404160000006668,1.0,4.0,76.0,or,2970.0,1,0,1,0
0.8504159999997355,1.0,4.0,77.0,mov,2970.0,1,1,1,1
1.8323159999994096,1.0,4.0,78.0,or,2970.0,0,1,1,0
1.4244500000001863,1.0,4.0,79.0,mov,2970.0,0,1,0,0
1.0711530000008642,1.0,4.0,0.0,mov,2970.0,1,0,0,1
1.0528760000006296,1.0,4.0,1.0,mov,2970.0,0,0,0,1
0.5858759999996983,1.0,4.0,2.0,or,2970.0,1,1,1,0
0.8600760000001173,1.0,4.0,3.0,mov,2970.0,1,1,1,1
0.7210990000006278,1.0,4.0,4.0,mov,2970.0,1,0,1,1
0.8844990000003018,1.0,4.0,5.0,mov,2970.0,0,0,0,1
0.797699000000488,1.0,4.0,6.0,or,2970.0,0,1,1,1
